medal,beer_name,brewery,city,state,category,year,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Bronze,Fieldhouse Wheat,Triton Brewing Co.,Indianapolis,IN,American-Style Wheat Beer,2017,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Miner's Gold Hefeweizen,Lewis & Clark Brewing Co.,Helena,MT,American-Style Wheat Beer With Yeast,2017,46.527398,-112.21037,1,place,,,,,Helena,MT,Lewis and Clark County,59601,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Wrangler Wheat,Figueroa Mountain Brewing - Santa Barbara,Santa Barbara,CA,American-Style Wheat Beer With Yeast,2017,34.421897,-119.707135,1,place,,,,,Santa Barbara,CA,Santa Barbara County,93101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Triumvirate,Reuben's Brews Taproom,Seattle,WA,Australian-Style or International-Style Pale Ale,2017,47.432251,-121.803388,1,place,,,,,Seattle,WA,King County,98060,US,TIGER/Line® dataset from the US Census Bureau
Silver,Pure Intention Pale Ale,HopSaint Brewing Co.,Torrance,CA,Australian-Style or International-Style Pale Ale,2017,33.835665,-118.303805,1,place,,,,,Torrance,CA,Los Angeles County,90501,US,TIGER/Line® dataset from the US Census Bureau
Gold,Public Enemy Baltic Porter,Dust Bowl Brewing Co.,Turlock,CA,Baltic-Style Porter,2017,37.474396,-120.875918,1,place,,,,,Turlock,CA,Stanislaus County,95380,US,TIGER/Line® dataset from the US Census Bureau
Silver,Herd Of Turtles,Bagby Beer Co.,Oceanside,CA,Baltic-Style Porter,2017,33.016928,-116.846046,1,place,,,,,Oceanside,CA,San Diego County,92049,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Powers of Observation,Ocelot Brewing Co.,Dulles,VA,Baltic-Style Porter,2017,39.002125,-77.442066,1,place,,,,,Dulles,VA,Loudoun County,20101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Shipfaced,Silver Harbor Brewing Co.,Saint Joseph,MI,Barley Wine-Style Ale,2017,42.10976,-86.48002,1,place,,,,,Saint Joseph,MI,Berrien County,49085,US,TIGER/Line® dataset from the US Census Bureau
Silver,No. 20 Barleywine,The Freehouse,Minneapolis,MN,Barley Wine-Style Ale,2017,44.984577,-93.269097,1,place,,,,,Minneapolis,MN,Hennepin County,55401,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Behemoth,One Barrel Brewing Co.,Madison,WI,Barley Wine-Style Ale,2017,43.06956,-89.423861,1,place,,,,,Madison,WI,Dane County,53701,US,TIGER/Line® dataset from the US Census Bureau
Gold,Grisette Summer Ale,Sly Fox Brewing Co.,Pottstown,PA,Belgian- and French-Style Ale,2017,40.263457,-75.617195,1,place,,,,,Pottstown,PA,Montgomery County,19464,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Working Title,Perennial Artisan Ales,Saint Louis,MO,Belgian- and French-Style Ale,2017,38.631501,-90.19231,1,place,,,,,Saint Louis,MO,St. Louis city,63101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Squatters Hell's Keep,Utah Brewers Cooperative,Salt Lake City,UT,Belgian-Style Blonde Ale or Pale Ale,2017,40.756095,-111.900719,1,place,,,,,Salt Lake City,UT,Salt Lake County,84101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Breton Blonde,Metazoa Brewing Co.,Indianapolis,IN,Belgian-Style Blonde Ale or Pale Ale,2017,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Belgian Pale Ale,Redwood Curtain Brewing Co.,Arcata,CA,Belgian-Style Blonde Ale or Pale Ale,2017,40.881383,-123.984232,1,place,,,,,Arcata,CA,Humboldt County,95518,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Four Fat Baby,Hillman Beer,Asheville,NC,Belgian-Style Dubbel or Quadrupel,2017,35.602711,-82.567281,1,place,,,,,Asheville,NC,Buncombe County,28801,US,TIGER/Line® dataset from the US Census Bureau
Gold,Blood Orange Wit,Refuge Brewery,Temecula,CA,Belgian-Style Fruit Beer,2017,33.752886,-116.055617,1,place,,,,,Temecula,CA,Riverside County,92589,US,TIGER/Line® dataset from the US Census Bureau
Silver,ZuurPruim,Logsdon Farmhouse Ales,Hood River,OR,Belgian-Style Fruit Beer,2017,45.7054,-121.52146,1,place,,,,,Hood River,OR,Hood River County,97031,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Cherry Busey,Sun King Brewing Co.,Indianapolis,IN,Belgian-Style Fruit Beer,2017,39.775092,-86.13216,1,place,,,,,Indianapolis,IN,Marion County,46201,US,TIGER/Line® dataset from the US Census Bureau
Gold,El Sur,Casa Agria Specialty Ales,Oxnard,CA,Belgian-Style Lambic or Sour Ale,2017,34.205247,-119.174092,1,place,,,,,Oxnard,CA,Ventura County,93030,US,TIGER/Line® dataset from the US Census Bureau
Silver,Blended 2017,Side Project Brewing,Maplewood,MO,Belgian-Style Lambic or Sour Ale,2017,38.6125,-90.324444,0,,,,,,,,,,,
Bronze,Drinking with Friends,Mraz Brewing Co.,El Dorado Hills,CA,Belgian-Style Lambic or Sour Ale,2017,38.686847,-121.044846,1,place,,,,,El Dorado Hills,CA,El Dorado County,95762,US,TIGER/Line® dataset from the US Census Bureau
Gold,Amandus,Lazarus Brewing Co.,Austin,TX,Belgian-Style Strong Specialty Ale,2017,30.326374,-97.771258,1,place,,,,,Austin,TX,Travis County,73301,US,TIGER/Line® dataset from the US Census Bureau
Silver,It's Always Something,Peticolas Brewing Co.,Dallas,TX,Belgian-Style Strong Specialty Ale,2017,32.781179,-96.790329,1,place,,,,,Dallas,TX,Dallas County,75201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Smells Like Money,BearWaters Brewing Co.,Canton,NC,Belgian-Style Strong Specialty Ale,2017,35.53288,-82.83736,1,place,,,,,Canton,NC,Haywood County,28716,US,TIGER/Line® dataset from the US Census Bureau
Gold,Tripel Dog Dare,Big Dog's Brewing Co.,Las Vegas,NV,Belgian-Style Tripel,2017,36.17372,-115.10647,1,place,,,,,Las Vegas,NV,Clark County,89101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Rapunzel,Corridor Brewery & Provisions,Chicago,IL,Belgian-Style Tripel,2017,41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Tripel Horse,River Horse Brewing Co.,Ewing,NJ,Belgian-Style Tripel,2017,40.265,-74.800555,0,,,,,,,,,,,
Gold,Wild Wacky Wit,Moon River Brewing Co.,Savannah,GA,Belgian-Style Witbier,2017,32.074679,-81.088261,1,place,,,,,Savannah,GA,Chatham County,31401,US,TIGER/Line® dataset from the US Census Bureau
Silver,Suntrip,New Terrain Brewing Co.,Golden,CO,Belgian-Style Witbier,2017,39.718539,-105.245659,1,place,,,,,Golden,CO,Jefferson County,80401,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Witte Ale,Brewery Ommegang,Cooperstown,NY,Belgian-Style Witbier,2017,42.714065,-74.890929,1,place,,,,,Cooperstown,NY,Otsego County,13326,US,TIGER/Line® dataset from the US Census Bureau
Gold,Kalliope,Captain Fatty's,Goleta,CA,Berliner-Style Weisse,2017,34.262834,-119.848555,1,place,,,,,Goleta,CA,Santa Barbara County,93116,US,TIGER/Line® dataset from the US Census Bureau
Silver,Ringmaster Raspberry Berliner,Big Top Brewing Co.,Sarasota,FL,Berliner-Style Weisse,2017,27.335023,-82.537169,1,place,,,,,Sarasota,FL,Sarasota County,34230,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Blackberry Table Sour,Baere Brewing Co.,Denver,CO,Berliner-Style Weisse,2017,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Gold,Low Boy,On Tour Brewing Co.,Chicago,IL,Bock,2017,41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
Silver,Rock Out with Maibock Out,Hailstorm Brewing Co.,Tinley Park,IL,Bock,2017,41.57337,-87.78449,1,place,,,,,Tinley Park,IL,Cook County,60477,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Mountain Series: Maibock,Breckenridge Brewery,Littleton,CO,Bock,2017,39.597937,-105.010182,1,place,,,,,Littleton,CO,Arapahoe County,80120,US,TIGER/Line® dataset from the US Census Bureau
Gold,Velvet Revolution,The Austin Beer Garden Brewing Co.,Austin,TX,Bohemian-Style Pilsener,2017,30.326374,-97.771258,1,place,,,,,Austin,TX,Travis County,73301,US,TIGER/Line® dataset from the US Census Bureau
Silver,Bohemian Pilsener,TAPS Fish House and Brewery - Corona,Corona,CA,Bohemian-Style Pilsener,2017,33.752886,-116.055617,1,place,,,,,Corona,CA,Riverside County,91718,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Torch Pilsner,Foothills Brewing Co.,Winston - Salem,NC,Bohemian-Style Pilsener,2017,36.027482,-80.20728,1,place,,,,,Winston-Salem,NC,Forsyth County,27150,US,TIGER/Line® dataset from the US Census Bureau
Gold,Fancy Pants,Jessup Farm Barrel House,Fort Collins,CO,Brett Beer,2017,40.594597,-105.127416,1,place,,,,,Fort Collins,CO,Larimer County,80521,US,TIGER/Line® dataset from the US Census Bureau
Silver,Saison Trystero,Our Mutual Friend Brewing,Denver,CO,Brett Beer,2017,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Touch of Brett Mosaic,Alesong Brewing & Blending,Eugene,OR,Brett Beer,2017,44.067988,-123.080181,1,place,,,,,Eugene,OR,Lane County,97401,US,TIGER/Line® dataset from the US Census Bureau
Gold,Porter,Back East Brewing,Bloomfield,CT,Brown Porter,2017,41.851961,-72.738939,1,place,,,,,Bloomfield,CT,Hartford County,6002,US,TIGER/Line® dataset from the US Census Bureau
Silver,Pinch Hit Porter,Stadium Pizza Main St.,Lake Elsinore,CA,Brown Porter,2017,33.650799,-117.372457,1,place,,,,,Lake Elsinore,CA,Riverside County,92530,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Man Full of Trouble,Dock Street Brewery,Philadelphia,PA,Brown Porter,2017,40.001811,-75.11787,1,place,,,,,Philadelphia,PA,Philadelphia County,19019,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Dia de los Mangos,Beachwood Blendery,Long Beach,CA,Chili Beer,2017,33.804309,-118.200957,1,place,,,,,Long Beach,CA,Los Angeles County,90801,US,TIGER/Line® dataset from the US Census Bureau
Gold,Imperial Smoked Porter With Cacao Nibs,Joseph James Brewing Co.,Henderson,NV,Chocolate Beer,2017,35.927901,-114.972061,1,place,,,,,Henderson,NV,Clark County,89009,US,TIGER/Line® dataset from the US Census Bureau
Silver,Aphrodisiac Chocolate Pomegranate Imperial Stout,Cranker's Brewery,Big Rapids,MI,Chocolate Beer,2017,43.69808,-85.48366,1,place,,,,,Big Rapids,MI,Mecosta County,49307,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Tears of My Enemies,Monday Night Brewing,Atlanta,GA,Chocolate Beer,2017,33.844371,-84.47405,1,place,,,,,Atlanta,GA,Fulton County,30301,US,TIGER/Line® dataset from the US Census Bureau
Gold,Mr. Kite's Pale Ale,Social Kitchen & Brewery,San Francisco,CA,Classic English-Style Pale Ale,2017,37.776646,-122.417481,1,place,,,,,San Francisco,CA,San Francisco County,94101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Extra Pale Ale,Summit Brewing Co.,Saint Paul,MN,Classic English-Style Pale Ale,2017,44.951483,-93.090649,1,place,,,,,Saint Paul,MN,Ramsey County,55101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Bearded Seal,Pinthouse Pizza North,Austin,TX,Classic Irish-Style Dry Stout,2017,30.326374,-97.771258,1,place,,,,,Austin,TX,Travis County,73301,US,TIGER/Line® dataset from the US Census Bureau
Silver,Sheehan's Stout,Rockford Brewing Co.,Rockford,MI,Classic Irish-Style Dry Stout,2017,43.132429,-85.551631,1,place,,,,,Rockford,MI,Kent County,49341,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Boulder Stout,PT's Brewing Co.,Las Vegas,NV,Classic Irish-Style Dry Stout,2017,36.17372,-115.10647,1,place,,,,,Las Vegas,NV,Clark County,89101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Saison,Funkwerks,Fort Collins,CO,Classic Saison,2017,40.594597,-105.127416,1,place,,,,,Fort Collins,CO,Larimer County,80521,US,TIGER/Line® dataset from the US Census Bureau
Silver,Matisse,Night Shift Brewing,Everett,MA,Classic Saison,2017,42.407396,-71.051183,1,place,,,,,Everett,MA,Middlesex County,2149,US,TIGER/Line® dataset from the US Census Bureau
Bronze,One Arm Farmhouse Ale,Hobbs Tavern & Brewing Co.,West Ossipee,NH,Classic Saison,2017,43.811782,-71.194586,1,place,,,,,West Ossipee,NH,Carroll County,3890,US,TIGER/Line® dataset from the US Census Bureau
Gold,Heritage Coffee Brown Ale,Alaskan Brewing Co.,Juneau,AK,Coffee Beer,2017,58.373561,-134.523946,1,place,,,,,Juneau,AK,Juneau City and Borough,99801,US,TIGER/Line® dataset from the US Census Bureau
Silver,It's 8 O'clock Somewhere,Torched Hop Brewing Co.,Atlanta,GA,Coffee Beer,2017,33.844371,-84.47405,1,place,,,,,Atlanta,GA,Fulton County,30301,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Stony Joe,Stony Creek Brewery,Branford,CT,Coffee Beer,2017,41.284746,-72.796292,1,place,,,,,Branford,CT,New Haven County,6405,US,TIGER/Line® dataset from the US Census Bureau
Silver,Udder Chaos,RAM/Big Horn Brewery - Seattle,Seattle,WA,Coffee Stout or Porter,2017,47.432251,-121.803388,1,place,,,,,Seattle,WA,King County,98060,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Kawi,Currahee Brewing Co.,Franklin,NC,Coffee Stout or Porter,2017,35.155829,-83.422421,1,place,,,,,Franklin,NC,Macon County,28734,US,TIGER/Line® dataset from the US Census Bureau
Gold,Mischievous Black,Six Ten Brewing,Tampa,FL,Dark Lager,2017,27.996097,-82.582035,1,place,,,,,Tampa,FL,Hillsborough County,33601,US,TIGER/Line® dataset from the US Census Bureau
Silver,DTB Schwarzbier,Desperate Times Brewing Co.,Carlisle,PA,Dark Lager,2017,40.20148,-77.18887,1,place,,,,,Carlisle,PA,Cumberland County,17013,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Lighter Than I Look,Figueroa Mountain Brewing,Buellton,CA,Dark Lager,2017,34.635927,-120.201469,1,place,,,,,Buellton,CA,Santa Barbara County,93427,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Northtown Native,Cinder Block Brewery,North Kansas City,MO,Dortmunder or German-Style Oktoberfest,2017,39.130004,-94.562177,0.9,place,,,,,North Kansas City,MO,Clay County,64116,US,TIGER/Line® dataset from the US Census Bureau
Gold,Hop Donkey,Auburn Alehouse,Auburn,CA,Double Red Ale,2017,39.014933,-121.07047,1,place,,,,,Auburn,CA,Placer County,95602,US,TIGER/Line® dataset from the US Census Bureau
Silver,St. James,Coldfire Brewing,Eugene,OR,Double Red Ale,2017,44.067988,-123.080181,1,place,,,,,Eugene,OR,Lane County,97401,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Midwest Red IPA,Masthead Brewing Co.,Cleveland,OH,Double Red Ale,2017,41.489381,-81.667486,1,place,,,,,Cleveland,OH,Cuyahoga County,44101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Rogue River Brown,Rockford Brewing Co.,Rockford,MI,English-Style Brown Ale,2017,43.132429,-85.551631,1,place,,,,,Rockford,MI,Kent County,49341,US,TIGER/Line® dataset from the US Census Bureau
Gold,Punjabi,CooperSmith's Pub & Brewing,Fort Collins,CO,English-Style India Pale Ale,2017,40.594597,-105.127416,1,place,,,,,Fort Collins,CO,Larimer County,80521,US,TIGER/Line® dataset from the US Census Bureau
Silver,Hoppy Poppy IPA,Figueroa Mountain Brewing,Buellton,CA,English-Style India Pale Ale,2017,34.635927,-120.201469,1,place,,,,,Buellton,CA,Santa Barbara County,93427,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Jacaranda Rye IPA,Claremont Craft Ales,Claremont,CA,English-Style India Pale Ale,2017,34.09668,-117.71978,1,place,,,,,Claremont,CA,Los Angeles County,91711,US,TIGER/Line® dataset from the US Census Bureau
Gold,Hold the Reins,Brink Brewing Co.,Cincinnati,OH,English-Style Mild Ale,2017,39.166759,-84.53822,1,place,,,,,Cincinnati,OH,Hamilton County,45201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Mamoot English Mild,Logboat Brewing Co.,Columbia,MO,English-Style Mild Ale,2017,38.894165,-92.274145,1,place,,,,,Columbia,MO,Boone County,65201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Nemo,Bonn Place Brewing,Bethlehem,PA,English-Style Mild Ale,2017,40.58883,-75.351958,1,place,,,,,Bethlehem,PA,Northampton County,18015,US,TIGER/Line® dataset from the US Census Bureau
Gold,Organic California Blonde Ale,Eel River Brewing Co.,Fortuna,CA,English-Style Summer Ale,2017,40.59819,-124.15728,1,place,,,,,Fortuna,CA,Humboldt County,95540,US,TIGER/Line® dataset from the US Census Bureau
Silver,Back In The ESSA,Monkey Paw Brewing,San Diego,CA,English-Style Summer Ale,2017,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Roswell: Grudge,Black Project Spontaneous & Wild Ales,Denver,CO,Experimental Beer,2017,39.760189,-104.996553,1,place,,,,,Denver,CO,Denver County,80202,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Hot Pink,Four Day Ray Brewing,Fishers,IN,Experimental Beer,2017,39.95559,-86.01387,1,place,,,,,Fishers,IN,Hamilton County,46038,US,TIGER/Line® dataset from the US Census Bureau
Gold,Correspondent,Wander Brewing,Bellingham,WA,Export Stout,2017,48.754092,-122.508129,1,place,,,,,Bellingham,WA,Whatcom County,98225,US,TIGER/Line® dataset from the US Census Bureau
Silver,Z-Man Stout,Pizza Port Carlsbad,Carlsbad,CA,Export Stout,2017,33.144219,-117.319439,1,place,,,,,Carlsbad,CA,San Diego County,92008,US,TIGER/Line® dataset from the US Census Bureau
Silver,Extra Special Ale,Yards Brewing Co.,Philadelphia,PA,Extra Special Bitter,2017,40.001811,-75.11787,1,place,,,,,Philadelphia,PA,Philadelphia County,19019,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Holler ESB,Holler Brewing Co.,Houston,TX,Extra Special Bitter,2017,29.813142,-95.309789,1,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
Gold,C Porter,LauderAle,Fort Lauderdale,FL,Field Beer,2017,26.121323,-80.127909,1,place,,,,,Fort Lauderdale,FL,Broward County,33301,US,TIGER/Line® dataset from the US Census Bureau
Silver,No Crusts,Funky Buddha Brewery,Fort Lauderdale,FL,Field Beer,2017,26.121323,-80.127909,1,place,,,,,Fort Lauderdale,FL,Broward County,33301,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Spa Water Saison,Ohana Brewing Co.,Los Angeles,CA,Field Beer,2017,33.973951,-118.248405,1,place,,,,,Los Angeles,CA,Los Angeles County,90001,US,TIGER/Line® dataset from the US Census Bureau
Gold,Wet Hop Melvin,Melvin Brewing Co.,Alpine,WY,Fresh or Wet Hop Ale,2017,43.16353,-111.01802,1,place,,,,,Alpine,WY,Lincoln County,83128,US,TIGER/Line® dataset from the US Census Bureau
Gold,Sierra Blanca Cherry Wheat,Sierra Blanca Brewing Co.,Moriarty,NM,Fruit Wheat Beer,2017,34.94103,-106.055796,1,place,,,,,Moriarty,NM,Torrance County,87035,US,TIGER/Line® dataset from the US Census Bureau
Silver,Purple Line,Smylie Brothers Brewing Co.,Evanston,IL,Fruit Wheat Beer,2017,42.049148,-87.702155,1,place,,,,,Evanston,IL,Cook County,60201,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Paradise Now,Trim Tab Brewing,Birmingham,AL,Fruit Wheat Beer,2017,33.456412,-86.801904,1,place,,,,,Birmingham,AL,Jefferson County,35201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Sour Wench Blackberry Ale,Ballast Point Brewing Co. - Home Brew Mart,San Diego,CA,Fruited American-Style Sour Ale,2017,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Breakside Passionfruit Sour Ale,Breakside Brewery & Taproom,Milwaukie,OR,Fruited American-Style Sour Ale,2017,45.446231,-122.639261,0.9,place,,,,,Milwaukie,OR,Clackamas County,97222,US,TIGER/Line® dataset from the US Census Bureau
Gold,Zoned AG Apricot,Corralitos Brewing Co.,Watsonville,CA,Fruited Wood- and Barrel-Aged Sour Beer,2017,36.98025,-121.74696,1,place,,,,,Watsonville,CA,Santa Cruz County,95076,US,TIGER/Line® dataset from the US Census Bureau
Silver,BA Excommunication,Max Lager's Wood-Fired Grill & Brewery,Atlanta,GA,Fruited Wood- and Barrel-Aged Sour Beer,2017,33.844371,-84.47405,1,place,,,,,Atlanta,GA,Fulton County,30301,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Riserva,Weyerbacher Brewing Co.,Easton,PA,Fruited Wood- and Barrel-Aged Sour Beer,2017,40.746007,-75.225665,1,place,,,,,Easton,PA,Northampton County,18040,US,TIGER/Line® dataset from the US Census Bureau
Gold,Glacier Ale,Red Lodge Ales Brewing Co.,Red Lodge,MT,German-Style Altbier,2017,45.241262,-109.323626,1,place,,,,,Red Lodge,MT,Carbon County,59068,US,TIGER/Line® dataset from the US Census Bureau
Silver,It's Your Fault,Piece Brewery,Chicago,IL,German-Style Altbier,2017,41.88531,-87.62213,1,place,,,,,Chicago,IL,Cook County,60601,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Little Red Cap,Grimm Brothers Brewhouse,Loveland,CO,German-Style Altbier,2017,40.364469,-105.179966,1,place,,,,,Loveland,CO,Larimer County,80537,US,TIGER/Line® dataset from the US Census Bureau
Gold,Wobblor,Crooked Lane Brewing Co.,Auburn,CA,German-Style Doppelbock or Eisbock,2017,39.014933,-121.07047,1,place,,,,,Auburn,CA,Placer County,95602,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Goldie's Big Bock,Lonerider Brewing Co.,Raleigh,NC,German-Style Doppelbock or Eisbock,2017,35.773632,-78.634457,1,place,,,,,Raleigh,NC,Wake County,27601,US,TIGER/Line® dataset from the US Census Bureau
Gold,Chuckanut Kolsch Style,Chuckanut Brewery,Bellingham,WA,German-Style Koelsch,2017,48.754092,-122.508129,1,place,,,,,Bellingham,WA,Whatcom County,98225,US,TIGER/Line® dataset from the US Census Bureau
Silver,Seafarer,Three Weavers Brewing Co.,Inglewood,CA,German-Style Koelsch,2017,33.956526,-118.358654,1,place,,,,,Inglewood,CA,Los Angeles County,90301,US,TIGER/Line® dataset from the US Census Bureau
Gold,Asheville Lager,Wedge Brewing Co.,Asheville,NC,German-Style Maerzen,2017,35.602711,-82.567281,1,place,,,,,Asheville,NC,Buncombe County,28801,US,TIGER/Line® dataset from the US Census Bureau
Silver,Oktoberfest,Rahr & Sons Brewing Co.,Fort Worth,TX,German-Style Maerzen,2017,32.771419,-97.291484,1,place,,,,,Fort Worth,TX,Tarrant County,76101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Oktoberfest,Beaver Island Brewing Co.,Saint Cloud,MN,German-Style Maerzen,2017,45.519196,-94.330619,1,place,,,,,Saint Cloud,MN,Stearns County,56301,US,TIGER/Line® dataset from the US Census Bureau
Gold,Zoigl-Pils,Zoiglhaus Brewing Co.,Portland,OR,German-Style Pilsener,2017,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Pilsner,Dry Dock Brewing Co. - South Dock,Aurora,CO,German-Style Pilsener,2017,39.739249,-104.862881,1,place,,,,,Aurora,CO,Arapahoe County,80010,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Pivo,Firestone Walker Brewing Co.,Paso Robles,CA,German-Style Pilsener,2017,35.640598,-120.700313,1,place,,,,,Paso Robles,CA,San Luis Obispo County,93446,US,TIGER/Line® dataset from the US Census Bureau
Gold,AlpenGlow,Fat Head's Brewery & Saloon,North Olmsted,OH,German-Style Wheat Ale,2017,41.417347,-81.922461,1,place,,,,,North Olmsted,OH,Cuyahoga County,44070,US,TIGER/Line® dataset from the US Census Bureau
Silver,Hidden Gem,OB Brewery,San Diego,CA,German-Style Wheat Ale,2017,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Saint Arnold Weedwacker,Saint Arnold Brewing Co.,Houston,TX,German-Style Wheat Ale,2017,29.813142,-95.309789,1,place,,,,,Houston,TX,Harris County,77001,US,TIGER/Line® dataset from the US Census Bureau
Gold,Dark Ale,Ground Breaker Brewing,Portland,OR,Gluten-Free Beer,2017,45.507856,-122.690794,1,place,,,,,Portland,OR,Multnomah County,97201,US,TIGER/Line® dataset from the US Census Bureau
Silver,Meteor Shower Blonde Ale,Ghostfish Brewing Co.,Seattle,WA,Gluten-Free Beer,2017,47.432251,-121.803388,1,place,,,,,Seattle,WA,King County,98060,US,TIGER/Line® dataset from the US Census Bureau
Gold,Boone Creek Blonde,Appalachian Mountain Brewery - Portsmouth,Portsmouth,NH,Golden or Blonde Ale,2017,43.005895,-71.013202,1,place,,,,,Portsmouth,NH,Rockingham County,210,US,TIGER/Line® dataset from the US Census Bureau
Silver,Firemans 4,Real Ale Brewing Co.,Blanco,TX,Golden or Blonde Ale,2017,30.137027,-98.419985,1,place,,,,,Blanco,TX,Blanco County,78606,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Blonde,Culture Brewing Co.,Solana Beach,CA,Golden or Blonde Ale,2017,33.007075,-117.256769,1,place,,,,,Solana Beach,CA,San Diego County,92075,US,TIGER/Line® dataset from the US Census Bureau
Bronze,India Spring Honey Cream Ale,Broken Plow Brewery,Greeley,CO,Herb and Spice Beer,2017,40.384991,-104.680631,1,place,,,,,Greeley,CO,Weld County,80631,US,TIGER/Line® dataset from the US Census Bureau
Silver,Hilltopper's Pride Kentucky Common Ale,Ironworks Brewery & Pub,Lakewood,CO,Historical Beer,2017,39.744773,-105.115977,0.9,place,,,,,Lakewood,CO,Jefferson County,80215,US,TIGER/Line® dataset from the US Census Bureau
Bronze,Spring Gruit,The BottleHouse Brewery And Meadery,Cleveland,OH,Historical Beer,2017,41.489381,-81.667486,1,place,,,,,Cleveland,OH,Cuyahoga County,44101,US,TIGER/Line® dataset from the US Census Bureau
Gold,Orange Blossom Common,Karl Strauss Brewing Co. - Carlsbad,Carlsbad,CA,Honey Beer,2017,33.144219,-117.319439,1,place,,,,,Carlsbad,CA,San Diego County,92008,US,TIGER/Line® dataset from the US Census Bureau
Silver,Jetty Ale,Great South Bay Brewery,Bay Shore,NY,Honey Beer,2017,40.705138,-73.243004,1,place,,,,,Bay Shore,NY,Suffolk County,11706,US,TIGER/Line® dataset from the US Census Bureau
Gold,Manta Ray,Ballast Point Brewing Co.,San Diego,CA,Imperial India Pale Ale,2017,32.724103,-117.170912,1,place,,,,,San Diego,CA,San Diego County,92101,US,TIGER/Line® dataset from the US Census Bureau
Silver,Lupulin River,Knee Deep Brewing Co.,Auburn,CA,Imperial India Pale Ale,2017,39.014933,-121.07047,1,place,,,,,Auburn,CA,Placer County,95602,US,TIGER/Line® dataset from the US Census Bureau
